  0,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,110
  0,  0,  0#  0,  0,126
  0,  0,  0#  0,  0,117
 10,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,117
-10,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  7,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0, -7,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  0,  5#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  0, -5#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  0,  0# 10,  0,117
  0,  0,  0#  0,  0,117
  0,  0,  0#-10,  0,117
  0,  0,  0#  0,  0,117
  0,  0,  0#  0, 10,117
  0,  0,  0#  0,  0,117
  0,  0,  0#  0,-10,117
  0,  0,  0#  0,  0,117
  0,  5,  0#  0,  0,117
  0,  5,  5#  0,  0,117
  0,  0,  5#  0,  0,117
  0, -5,  5#  0,  0,117
  0, -5,  0#  0,  0,117
  0, -5, -5#  0,  0,117
  0,  0, -5#  0,  0,117
  0,  5, -5#  0,  0,117
  0,  5,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,110
