  0,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,110
  0,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,126
  0,  0,  0#  0,  0,117
  0,  0,  0# 10,  0,117
  0,  0,  0# 10,  5,117
  0,  0,  0#  0,  5,117
  0,  0,  0#-10,  5,117
  0,  0,  0#-10,  0,117
  0,  0,  0#-10, -5,117
  0,  0,  0#  0, -5,117
  0,  0,  0# 10, -5,117
  0,  0,  0# 10,  0,117
  0,  0,  0#  0,  0,117
 10,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,117
-10,  0,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  5,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0, -5,  0#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  0,  5#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  0, -5#  0,  0,117
  0,  0,  0#  0,  0,117
  0,  3,  0#  0,  0,117
  0,  3,  3#  0,  0,117
  0,  0,  3#  0,  0,117
  0, -3,  3#  0,  0,117
  0, -3,  0#  0,  0,117
  0, -3, -3#  0,  0,117
  0,  0, -3#  0,  0,117
  0,  3, -3#  0,  0,117
  0,  3,  0#  0,  0,117
  0,  0,  0#  0,  0,117
